Name,Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
HCL,04-01-2019,25.6,25.6,24.85,24.9,24.95,501026,125.75
HCL,03-01-2019,25.6,26.1,25.35,25.45,25.55,490011,125.86
HCL,02-01-2019,25.45,26.65,25.2,25.7,25.55,1224151,316.27
HCL,01-01-2019,25.15,25.9,24.95,25.55,25.55,536651,136.02
HCL,31-12-2018,25.3,25.35,24.85,25.05,25.05,452852,113.43
HCL,28-12-2018,25.1,25.45,24.9,25.2,25.2,699070,176.12
HCL,27-12-2018,25.2,25.35,24.75,24.85,24.9,593916,148.47
HCL,26-12-2018,25.15,25.15,24.45,24.95,24.9,565744,140.45
HCL,24-12-2018,25.9,25.9,24.9,25.15,25.15,507056,127.92
HCL,21-12-2018,26.15,26.3,25.45,25.6,25.7,677319,174.45
HCL,20-12-2018,25.85,27.05,25.85,26.2,26.2,796706,210.25
HCL,19-12-2018,27,27,26.1,26.4,26.3,2024968,536.99
HCL,18-12-2018,24.95,25.4,24.35,25.2,25.15,711694,177.18
HCL,17-12-2018,24.55,25.15,24.55,24.9,24.95,310760,77.52
HCL,14-12-2018,25,25,24.5,24.75,24.75,424818,105.07
HCL,13-12-2018,24.95,25.6,24.6,24.8,24.9,808514,202.74
HCL,12-12-2018,24.05,25,23.85,24.7,24.7,846565,208.36
HCL,11-12-2018,23.5,24.1,22.85,23.9,23.8,684629,161.63
HCL,10-12-2018,23.75,23.85,23.3,23.35,23.45,528348,124.45
HCL,07-12-2018,24.35,24.4,23.65,24.1,24.05,959697,229.49
HCL,06-12-2018,24.95,24.95,24,24.15,24.2,787657,191.94
HCL,05-12-2018,26.15,26.35,24.9,24.95,25.1,1500609,383.34
HCL,04-12-2018,25.25,26.25,24.95,26.1,25.75,1671263,426.52
HCL,03-12-2018,24.8,25.2,24.4,25,25.05,1410036,349.23
HCL,30-11-2018,25.35,25.5,24.5,24.5,24.65,792314,197.94
HCL,29-11-2018,25.9,25.9,25.1,25.2,25.35,1363468,348.19
HCL,28-11-2018,26.15,26.2,25.5,25.5,25.65,1549248,399.18
HCL,27-11-2018,26.05,26.55,25.8,25.95,25.95,1490489,390.12
HCL,26-11-2018,26.5,26.5,25.5,25.9,25.95,1956725,507.29
HCL,22-11-2018,27.25,27.6,26.05,26.35,26.4,2036900,550.11
HCL,21-11-2018,26.25,27.4,26.05,26.85,27.1,2416488,643.17
HCL,20-11-2018,25.95,27.15,25.6,26.25,26.3,1857860,486.06
HCL,19-11-2018,26.3,26.45,25.6,26.1,25.95,1857238,484.42
HCL,16-11-2018,26.65,26.85,26.1,26.3,26.3,1670643,441.52
HCL,15-11-2018,26.8,27.25,26.3,26.5,26.5,1621313,434.99
HCL,14-11-2018,27.9,28,26.95,27,27.1,1702794,468.71
HCL,13-11-2018,28.05,28.2,27.25,27.6,27.65,1137947,315.26
HCL,12-11-2018,28.75,29.1,28.05,28.1,28.2,1554582,443.66
HCL,09-11-2018,28.7,29.2,28.05,28.6,28.7,1306356,371.21
HCL,07-11-2018,28.7,28.95,28.15,28.9,28.6,506647,144.81
HCL,06-11-2018,26.35,28.7,26.25,28.7,28.25,2329046,639.9
HCL,05-11-2018,26.75,26.75,25.9,26.35,26.15,528492,138.97
HCL,02-11-2018,27.7,28,26.6,26.65,26.8,1185385,326.3
HCL,01-11-2018,28,28,27.2,27.35,27.4,1045308,287.84
HCL,31-10-2018,25.8,27.7,25.6,27.6,27.5,1850401,495.11
HCL,30-10-2018,25.5,26.2,25.3,25.65,25.65,749534,193.03
HCL,29-10-2018,25.35,25.8,25.05,25.55,25.55,1092759,278.15
HCL,26-10-2018,26.25,26.45,25.05,25.1,25.2,1435252,366.66
HCL,25-10-2018,24.1,26.75,23.9,26.2,25.95,3829566,976.83
HCL,24-10-2018,24.45,25.1,24.3,24.65,24.65,1269821,312.4
HCL,23-10-2018,24.3,24.9,23.85,24.5,24.25,884075,215.45
HCL,22-10-2018,25.4,25.95,24.65,24.75,24.85,1066227,269.18
HCL,19-10-2018,26.05,26.05,24.9,25.4,25.2,782387,197.89
HCL,17-10-2018,27.5,27.85,26.2,26.3,26.35,801529,213.54
HCL,16-10-2018,27.75,28.1,26.8,26.95,27,884394,243.18
HCL,15-10-2018,25.75,29.3,24.7,27.6,27.5,2203538,602.58
HCL,12-10-2018,24.35,25.4,24.35,24.75,24.85,996542,247.39
HCL,11-10-2018,23.4,24.4,22.6,24.05,24.1,788862,188.06
HCL,10-10-2018,22.4,25.15,22.05,24,23.95,1208851,282.76
HCL,09-10-2018,22.7,23.4,21.65,22,22.05,902631,201.05
HCL,08-10-2018,22.5,23,21.6,22.8,22.5,840109,187.99
HCL,05-10-2018,22.95,23.35,22.45,22.8,22.8,553539,126.98
HCL,04-10-2018,22.75,23.85,22.75,22.85,22.95,786387,181.84
HCL,03-10-2018,23,24.5,22.05,23.4,23.5,1372771,321.33
HCL,01-10-2018,23.6,23.85,21.25,22.55,22.75,1378725,312.83
HCL,28-09-2018,26.3,26.55,22.65,23.7,23.5,1057011,259.08
HCL,27-09-2018,27,27.15,25.55,26.3,26.05,989688,259.39
HCL,26-09-2018,26.4,27.4,26.35,26.75,26.9,679681,182.63
HCL,25-09-2018,26.5,27.6,25.4,26.25,26.35,1065327,283.04
HCL,24-09-2018,27.6,27.65,25.35,25.75,25.85,684449,179.24
HCL,21-09-2018,30.1,30.1,25.05,27.45,27.3,1280993,356.29
HCL,19-09-2018,31.3,31.35,29.35,29.7,29.7,1217396,365.26
HCL,18-09-2018,32.2,32.5,30.95,31.15,31.3,824718,261.81
HCL,17-09-2018,32.45,32.55,32.15,32.3,32.3,503193,162.77
HCL,14-09-2018,32.5,32.95,32.35,32.55,32.6,647596,211.48
HCL,12-09-2018,33,33,32,32.2,32.25,758607,245.37
