Name,Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
MINDT,04-01-2019,832.1,841,792.25,815.45,815,3507785,28371.49
MINDT,03-01-2019,861.15,865,824.35,834.3,834.8,908897,7708.07
MINDT,02-01-2019,858,878,857.2,859,860.5,892157,7766.41
MINDT,01-01-2019,864,867.1,853.4,863.15,863.4,399996,3444.98
MINDT,31-12-2018,870,871.7,861.55,864,864.5,317152,2747.53
MINDT,28-12-2018,863,869,858.05,865.2,864.1,420544,3632.26
MINDT,27-12-2018,859.35,872.9,853,863.8,861.85,1251109,10825.57
MINDT,26-12-2018,839,859.85,818,855.05,854.05,1128860,9437.16
MINDT,24-12-2018,848.8,856.9,834.15,836.35,837.7,690775,5834.17
MINDT,21-12-2018,850.35,866.2,840.1,847,845.6,1601801,13689.55
MINDT,20-12-2018,849,859.3,841.35,850,850.05,996549,8481.89
MINDT,19-12-2018,850,861.6,827.3,849.8,850.1,1987778,16738.72
MINDT,18-12-2018,860,867.05,841.6,847,846.6,1634661,13854.24
MINDT,17-12-2018,870,874,856.6,868,870.05,497718,4309.82
MINDT,14-12-2018,860,873.3,850,865,867.9,956017,8262.41
MINDT,13-12-2018,882,889.15,852.35,854,858.8,1043497,9048.17
MINDT,12-12-2018,862,895.5,861.25,877,880.65,1066840,9379.75
MINDT,11-12-2018,842.2,874.65,842.2,860.85,861.75,748458,6467.64
MINDT,10-12-2018,856,872.25,843.9,851.5,858.1,821259,7044.73
MINDT,07-12-2018,862,875,845.05,863.4,867.65,1096535,9441.28
MINDT,06-12-2018,869,911.95,843,861,861.3,4125356,35973.38
MINDT,05-12-2018,882,883.9,864.6,872.9,871.15,701305,6112.67
MINDT,04-12-2018,894.5,899.8,880.85,882.75,885.35,1157865,10309.28
MINDT,03-12-2018,883.9,897.55,865,894.5,893.45,1287294,11351.13
MINDT,30-11-2018,855,884,848,880,876.65,1519665,13179.15
MINDT,29-11-2018,876,877.95,845.2,852,850.1,2045062,17514.74
MINDT,28-11-2018,827,881.1,822.35,871,874.75,2305804,19686.46
MINDT,27-11-2018,842,848,820,824,824.1,1220238,10099.84
MINDT,26-11-2018,830,843,819,840.25,837.1,933348,7757.73
MINDT,22-11-2018,830.4,854.7,823,830,828.85,1466895,12348.3
MINDT,21-11-2018,838,838.05,805.1,836,830.4,1895611,15493.34
MINDT,20-11-2018,848.7,854.2,835,835.5,836.5,1043524,8777.55
MINDT,19-11-2018,846,853,839.15,844.9,848.7,610680,5175.81
MINDT,16-11-2018,840,854.5,831,837,837.4,960984,8067.68
MINDT,15-11-2018,835.05,851.45,832.6,839.85,840.4,635572,5350.07
MINDT,14-11-2018,844.95,851.6,831.9,840,846.75,800201,6727.78
MINDT,13-11-2018,861.5,868,837,845,843.75,651556,5535.51
