Name,Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
OFSS,04-01-2019,3606,3623.45,3551.35,3595,3598.2,18934,680.03
OFSS,03-01-2019,3697,3730,3575.65,3609,3594.65,31202,1136.42
OFSS,02-01-2019,3738.95,3760,3693.3,3702,3710.95,34252,1277.46
OFSS,01-01-2019,3700.1,3740,3690,3740,3729.45,11336,421.27
OFSS,31-12-2018,3638.15,3731,3638.15,3700,3707.75,20750,767.42
OFSS,28-12-2018,3660,3695.5,3637.5,3670,3660.85,15813,580.07
OFSS,27-12-2018,3585,3682,3570,3676,3663.55,39169,1419.66
OFSS,26-12-2018,3632.5,3651.9,3531.9,3567.85,3562.3,22296,795.71
OFSS,24-12-2018,3620.15,3717.3,3620.15,3660,3661.3,30876,1137.9
OFSS,21-12-2018,3700,3745,3615,3666.7,3662.3,38800,1422.54
OFSS,20-12-2018,3645.05,3741.35,3623.25,3679,3681.35,41698,1541.31
OFSS,19-12-2018,3640,3737.85,3570,3687,3672.7,37986,1385.89
OFSS,18-12-2018,3575,3657,3560.1,3646.95,3644.65,19580,708.6
OFSS,17-12-2018,3649,3661.55,3572.2,3589,3582,21800,784.12
OFSS,14-12-2018,3610.6,3644.95,3607.25,3638,3632.55,10616,384.75
OFSS,13-12-2018,3660,3694.8,3580,3586.5,3604.95,29356,1067.29
OFSS,12-12-2018,3518.6,3660,3518.6,3635,3638.65,24436,880.07
OFSS,11-12-2018,3421,3545,3421,3544.95,3518.6,19180,670.75
OFSS,10-12-2018,3543.55,3555,3432,3481,3475,30361,1054.03
OFSS,07-12-2018,3600,3600,3550.05,3550.05,3579.3,28815,1030.38
OFSS,06-12-2018,3565,3589.95,3519.2,3575,3563.6,26432,941.75
OFSS,05-12-2018,3560,3605,3528.55,3578.55,3563.45,80453,2875.64
OFSS,04-12-2018,3449,3580,3418,3563,3562.6,179311,6303.15
OFSS,03-12-2018,3450,3455.85,3380.85,3430,3431.85,53038,1813.36
