Name,Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
TCS,04-01-2019,1900,1901.2,1841,1882,1876.85,4280862,80017.42
TCS,03-01-2019,1919,1944.95,1893.1,1901,1899.95,2611668,50061.78
TCS,02-01-2019,1905,1934.45,1900,1919,1923.3,2100463,40389.86
TCS,01-01-2019,1896,1910,1885,1905.9,1902.8,1094883,20800.34
TCS,31-12-2018,1908,1909,1886.15,1894.75,1893.05,1879740,35647.72
TCS,28-12-2018,1915,1920,1893,1897,1896.05,2239130,42708.38
TCS,27-12-2018,1909,1941.7,1872.1,1909.1,1908.95,4968201,95411.46
TCS,26-12-2018,1921.8,1921.8,1870.25,1892,1889.2,2446614,46112.98
TCS,24-12-2018,1905.8,1938.9,1905,1922,1918.5,1864116,35878.57
TCS,21-12-2018,1948,1950,1886.55,1905,1895.8,3729956,71360.52
TCS,20-12-2018,1953.8,1974.9,1946,1955,1954.05,1940277,37945.1
TCS,19-12-2018,1984.8,1984.8,1960.05,1970.8,1968.45,2498833,49198.05
TCS,18-12-2018,1991.9,2002,1976.4,1987.9,1987.85,1768742,35137.11
TCS,17-12-2018,1999,2004.9,1985,1992.9,1994.3,1227921,24482.95
TCS,14-12-2018,1983,1998.95,1975.25,1989,1989.75,2473761,49094.42
TCS,13-12-2018,2024,2029.7,1974.5,1981.95,1982.6,3748429,74802.38
TCS,12-12-2018,2001.1,2022,1984.95,2016.5,2016.8,2219993,44663.42
TCS,11-12-2018,1970,2010,1961,1997.05,2000,2942014,58636.26
TCS,10-12-2018,1975,2011,1960,1961,1975.8,2010786,39990.73
TCS,07-12-2018,1985.05,2003.9,1973,1999.85,1995.2,1680420,33463.26
TCS,06-12-2018,1998,2017,1979.6,1990,1992.7,2321216,46373.71
TCS,05-12-2018,2006,2018,1985,2003.9,2006.75,2501539,50131.23
TCS,04-12-2018,1983,2019.4,1971,2009.85,2010.85,3270615,65568.23
TCS,03-12-2018,1984,1990,1968.3,1984,1982.4,1610576,31868
TCS,30-11-2018,1966,1991,1959.85,1974.8,1968.25,5268901,103911.95
TCS,29-11-2018,1997,1997,1942.55,1970,1960.55,4035441,79281.94
TCS,28-11-2018,1889,1989,1882.5,1985.05,1983.9,5313249,103702.44
