Name,Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
TECHM,04-01-2019,694.45,697.05,672.5,681.4,681.1,3926171,26750.47
TECHM,03-01-2019,715.05,716,685.25,693,691.25,3558015,24785.18
TECHM,02-01-2019,719.15,729.7,709.25,712.15,712.05,2576769,18534.9
TECHM,01-01-2019,715,721.45,715,720.6,719.1,815535,5857.87
TECHM,31-12-2018,720,726.45,715.1,721.65,723.15,1814655,13065.29
TECHM,28-12-2018,710,718.4,710,713,714,1863654,13308.1
TECHM,27-12-2018,702,713.5,696.15,708.9,708.9,3018106,21356.26
TECHM,26-12-2018,695.9,697.9,686,695.5,693.55,1881689,12992.98
TECHM,24-12-2018,699,704.9,690.6,697,697.9,1472565,10301.21
TECHM,21-12-2018,710,713.5,693,696.7,695.75,2063928,14489.06
TECHM,20-12-2018,702,717,702,709.8,707.75,1817880,12944.53
TECHM,19-12-2018,709,714.05,691.9,713.85,709.45,2702676,18979.72
TECHM,18-12-2018,715,716.55,704.2,708.6,709,1905592,13512.35
TECHM,17-12-2018,712.5,722.5,711.5,720,719.75,1435014,10287.35
TECHM,14-12-2018,709.15,716.8,705.1,711,712.2,1982037,14104.66
TECHM,13-12-2018,706,713,697.1,709.15,709.3,2593714,18306.89
TECHM,12-12-2018,700,711.2,690.55,706.95,705.35,2355119,16557.58
TECHM,11-12-2018,690,708.9,685,696,695.3,3495336,24415.48
TECHM,10-12-2018,687,705,680.05,688.7,687.9,2334813,16196
TECHM,07-12-2018,698,703.95,685.15,693,694.25,2423892,16873.89
TECHM,06-12-2018,724,724,690.6,695,696.4,3467903,24311.88
TECHM,05-12-2018,711.05,739.9,711.05,728,726.85,4864922,35481.3
TECHM,04-12-2018,712.7,724.75,704.55,723,723.55,2896702,20736.83
TECHM,03-12-2018,706.8,717.65,703.7,711.65,712.7,2410009,17147.54
TECHM,30-11-2018,688.8,709.9,686.95,706.8,705.95,3292579,23060.61
TECHM,29-11-2018,706,706,685.25,688.8,687.5,2351937,16290.87
TECHM,28-11-2018,701,705.9,692,698.5,697.5,2767316,19341.62
TECHM,27-11-2018,695.7,708.3,685.05,696.5,694.15,2560757,17773.22
TECHM,26-11-2018,688,698.75,671,696.2,694.5,2993915,20480.93
TECHM,22-11-2018,702.7,710,685.45,688,690.8,4031353,28200.94
TECHM,21-11-2018,709.7,709.8,684.25,691.7,690.65,3108345,21484.47
