Name,Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
WIPRO,04-01-2019,324.5,326.85,319.65,324,324.45,2405278,7782.72
WIPRO,03-01-2019,327,327.95,323.05,324.35,325.5,3542281,11513.96
WIPRO,02-01-2019,328.8,331.3,323,325.4,325.55,3308303,10825.28
WIPRO,01-01-2019,330.75,332.75,325.4,328.7,326.65,1513704,4966.03
WIPRO,31-12-2018,331,333.8,329.05,330.65,330.85,2136121,7085
WIPRO,28-12-2018,326.2,332.9,325.8,329.1,330.05,2229453,7364.36
WIPRO,27-12-2018,327.8,331.35,324,325.95,327.45,5072651,16659.35
WIPRO,26-12-2018,325.7,327.3,319.35,325.55,326.15,2355520,7619.49
WIPRO,24-12-2018,322.7,330.5,321.4,326.05,326.7,4231888,13819.37
WIPRO,21-12-2018,333.2,334.8,320.75,323.15,322.1,9828513,31847.64
WIPRO,20-12-2018,336.25,340,332.35,333.5,333.25,2408153,8092.22
WIPRO,19-12-2018,335.05,342.25,331.4,340.2,340.7,3741754,12631.49
WIPRO,18-12-2018,335.25,338.4,332.55,335,335.05,3699153,12399.32
WIPRO,17-12-2018,335.95,341.75,334.4,338.7,339.6,3435752,11645.76
WIPRO,14-12-2018,339,343,332.3,335,333.1,4797032,16150.92
WIPRO,13-12-2018,331,343.95,329,339,338.65,5148093,17392.98
WIPRO,12-12-2018,329.8,332,327.95,330.45,330.05,2635669,8706.19
WIPRO,11-12-2018,325.4,333.8,324.8,328.85,328,4423215,14554.87
WIPRO,10-12-2018,328.3,336.5,325.1,325.15,326.6,3198111,10539.62
WIPRO,07-12-2018,332.8,336.35,324.45,333.35,333.3,3474102,11436.34
WIPRO,06-12-2018,333.25,336.45,329,330,331.65,2337100,7765.87
WIPRO,05-12-2018,333,338.7,328.15,336.25,336.45,3849080,12868.78
WIPRO,04-12-2018,328.25,341.25,325.7,334.45,334.95,5971913,19981.96
WIPRO,03-12-2018,325,329.5,323.05,327.8,328.25,2668224,8738.51
WIPRO,30-11-2018,315.05,326.4,313.7,324.8,324.65,6371721,20587.62
WIPRO,29-11-2018,314,316.65,309.6,314.9,314.9,2922520,9167.8
WIPRO,28-11-2018,313.95,315.55,309.25,310.8,310.3,6347516,19777.01
WIPRO,27-11-2018,316.85,322.3,311,312.3,312.05,4296839,13555.12
WIPRO,26-11-2018,303.4,319.9,302.65,319.5,318.45,6996420,21817.13
WIPRO,22-11-2018,315,318.8,306,307.4,307.1,3089809,9641.29
WIPRO,21-11-2018,320,320,313.25,315,314.15,2603932,8220.34
WIPRO,20-11-2018,330.9,330.9,320.1,321.9,321.3,2590244,8422.69
WIPRO,19-11-2018,325.5,335.4,321.5,330.95,332.85,2817505,9266.52
WIPRO,16-11-2018,323.5,330.4,323.5,325.6,326.2,2728443,8927.68
WIPRO,15-11-2018,324.15,330.5,321.65,321.7,323.15,3353550,10978.93
WIPRO,14-11-2018,325,326.1,318.65,324.15,324.55,1831417,5907.64
WIPRO,13-11-2018,323.5,327.7,321,326.05,326.15,2288150,7446.86
WIPRO,12-11-2018,324.75,326.5,321.8,324.6,323.35,2586579,8380.62
WIPRO,09-11-2018,328,328,317.65,324,324.85,4623479,14846.48
WIPRO,07-11-2018,325.4,327.75,324.55,324.95,325.35,142541,464.37
WIPRO,06-11-2018,324.8,326.85,321.1,323.3,324.9,2290933,7439.23
WIPRO,05-11-2018,315.1,325.5,314.1,323.95,324.1,2554071,8202.12
WIPRO,02-11-2018,329,331.6,317.05,318.55,318.4,3660725,11834.31
WIPRO,01-11-2018,332.95,332.95,322.5,329,329.65,2505700,8180.31
WIPRO,31-10-2018,328.2,333.75,322.1,332,331.2,3004968,9881.7
WIPRO,30-10-2018,329,334.65,325.65,327.5,327.5,3705132,12221.63
WIPRO,29-10-2018,319,332.2,316.65,330.05,329.5,2475139,8027.8
WIPRO,26-10-2018,318.8,322.5,316,318.5,320.6,4427137,14106.96
WIPRO,25-10-2018,296,323.15,296,318.15,318.55,14176566,44667.33
